Admin. celok;NUTS;2023;2022;2021
Slovenská republika;SK0;;;
Bratislavský kraj;SK010;;;
Trnavský kraj;SK021;;;
Trenčiansky kraj;SK022;;;
Nitriansky kraj;SK023;;;
Žilinský kraj;SK031;;;
Banskobystrický kraj;SK032;;;
Prešovský kraj;SK041;;;
Košický kraj;SK042;;;
